District,Year,Disease,Occurrences
District_1,2018,Chikungunya,0
District_1,2018,Dengue,0
District_1,2018,Yellow fever,0
District_1,2018,Malaria,0
District_1,2019,Chikungunya,0
District_1,2019,Dengue,1
District_1,2019,Yellow fever,1
District_1,2019,Malaria,1
District_1,2020,Chikungunya,1
District_1,2020,Dengue,1
District_1,2020,Yellow fever,1
District_1,2020,Malaria,0
District_1,2021,Chikungunya,1
District_1,2021,Dengue,1
District_1,2021,Yellow fever,1
District_1,2021,Malaria,1
District_1,2022,Chikungunya,0
District_1,2022,Dengue,1
District_1,2022,Yellow fever,1
District_1,2022,Malaria,1
District_1,2023,Chikungunya,0
District_1,2023,Dengue,0
District_1,2023,Yellow fever,0
District_1,2023,Malaria,0
District_2,2018,Chikungunya,0
District_2,2018,Dengue,0
District_2,2018,Yellow fever,1
District_2,2018,Malaria,1
District_2,2019,Chikungunya,0
District_2,2019,Dengue,0
District_2,2019,Yellow fever,1
District_2,2019,Malaria,1
District_2,2020,Chikungunya,1
District_2,2020,Dengue,1
District_2,2020,Yellow fever,0
District_2,2020,Malaria,1
District_2,2021,Chikungunya,1
District_2,2021,Dengue,1
District_2,2021,Yellow fever,0
District_2,2021,Malaria,1
District_2,2022,Chikungunya,1
District_2,2022,Dengue,1
District_2,2022,Yellow fever,1
District_2,2022,Malaria,0
District_2,2023,Chikungunya,1
District_2,2023,Dengue,1
District_2,2023,Yellow fever,1
District_2,2023,Malaria,1
District_3,2018,Chikungunya,1
District_3,2018,Dengue,0
District_3,2018,Yellow fever,1
District_3,2018,Malaria,0
District_3,2019,Chikungunya,1
District_3,2019,Dengue,1
District_3,2019,Yellow fever,1
District_3,2019,Malaria,1
District_3,2020,Chikungunya,0
District_3,2020,Dengue,1
District_3,2020,Yellow fever,0
District_3,2020,Malaria,0
District_3,2021,Chikungunya,0
District_3,2021,Dengue,0
District_3,2021,Yellow fever,0
District_3,2021,Malaria,0
District_3,2022,Chikungunya,1
District_3,2022,Dengue,1
District_3,2022,Yellow fever,0
District_3,2022,Malaria,1
District_3,2023,Chikungunya,1
District_3,2023,Dengue,1
District_3,2023,Yellow fever,0
District_3,2023,Malaria,0
District_4,2018,Chikungunya,0
District_4,2018,Dengue,0
District_4,2018,Yellow fever,0
District_4,2018,Malaria,0
District_4,2019,Chikungunya,0
District_4,2019,Dengue,0
District_4,2019,Yellow fever,1
District_4,2019,Malaria,0
District_4,2020,Chikungunya,0
District_4,2020,Dengue,1
District_4,2020,Yellow fever,1
District_4,2020,Malaria,0
District_4,2021,Chikungunya,1
District_4,2021,Dengue,0
District_4,2021,Yellow fever,0
District_4,2021,Malaria,1
District_4,2022,Chikungunya,1
District_4,2022,Dengue,1
District_4,2022,Yellow fever,1
District_4,2022,Malaria,1
District_4,2023,Chikungunya,1
District_4,2023,Dengue,0
District_4,2023,Yellow fever,0
District_4,2023,Malaria,0
District_5,2018,Chikungunya,1
District_5,2018,Dengue,1
District_5,2018,Yellow fever,0
District_5,2018,Malaria,1
District_5,2019,Chikungunya,0
District_5,2019,Dengue,1
District_5,2019,Yellow fever,0
District_5,2019,Malaria,1
District_5,2020,Chikungunya,0
District_5,2020,Dengue,1
District_5,2020,Yellow fever,0
District_5,2020,Malaria,1
District_5,2021,Chikungunya,1
District_5,2021,Dengue,1
District_5,2021,Yellow fever,0
District_5,2021,Malaria,1
District_5,2022,Chikungunya,1
District_5,2022,Dengue,1
District_5,2022,Yellow fever,0
District_5,2022,Malaria,1
District_5,2023,Chikungunya,0
District_5,2023,Dengue,1
District_5,2023,Yellow fever,0
District_5,2023,Malaria,0
District_6,2018,Chikungunya,0
District_6,2018,Dengue,0
District_6,2018,Yellow fever,1
District_6,2018,Malaria,0
District_6,2019,Chikungunya,0
District_6,2019,Dengue,1
District_6,2019,Yellow fever,0
District_6,2019,Malaria,0
District_6,2020,Chikungunya,1
District_6,2020,Dengue,1
District_6,2020,Yellow fever,1
District_6,2020,Malaria,1
District_6,2021,Chikungunya,1
District_6,2021,Dengue,0
District_6,2021,Yellow fever,0
District_6,2021,Malaria,0
District_6,2022,Chikungunya,0
District_6,2022,Dengue,1
District_6,2022,Yellow fever,1
District_6,2022,Malaria,0
District_6,2023,Chikungunya,1
District_6,2023,Dengue,1
District_6,2023,Yellow fever,1
District_6,2023,Malaria,0
