District,Year,Temperature,Humidity,Rainfall,Quarter,State
District_1,2018,38,64,336,0,State_15
District_1,2018,38,73,464,1,State_15
District_1,2018,23,62,185,2,State_15
District_1,2018,20,63,217,3,State_15
District_2,2018,29,77,489,0,State_16
District_2,2018,23,57,111,1,State_16
District_2,2018,24,47,81,2,State_16
District_2,2018,22,62,148,3,State_16
District_3,2018,37,73,293,0,State_25
District_3,2018,28,68,88,1,State_25
District_3,2018,36,83,289,2,State_25
District_3,2018,23,48,435,3,State_25
District_4,2018,26,54,104,0,State_6
District_4,2018,23,61,419,1,State_6
District_4,2018,37,45,26,2,State_6
District_4,2018,25,48,192,3,State_6
District_5,2018,22,70,483,0,State_11
District_5,2018,23,47,372,1,State_11
District_5,2018,22,43,368,2,State_11
District_5,2018,26,48,129,3,State_11
District_6,2018,33,80,194,0,State_5
District_6,2018,37,58,411,1,State_5
District_6,2018,39,48,128,2,State_5
District_6,2018,26,81,384,3,State_5
District_7,2018,29,65,131,0,State_13
District_7,2018,26,53,402,1,State_13
District_7,2018,35,46,488,2,State_13
District_7,2018,30,46,330,3,State_13
District_8,2018,20,41,151,0,State_27
District_8,2018,29,55,353,1,State_27
District_8,2018,33,55,128,2,State_27
District_8,2018,20,71,330,3,State_27
District_9,2018,23,61,302,0,State_2
District_9,2018,31,50,469,1,State_2
District_9,2018,35,44,35,2,State_2
District_9,2018,25,83,103,3,State_2
District_10,2018,32,88,184,0,State_20
District_10,2018,37,86,288,1,State_20
District_10,2018,26,53,423,2,State_20
District_10,2018,25,52,398,3,State_20
District_11,2018,25,76,483,0,State_4
District_11,2018,39,52,41,1,State_4
District_11,2018,34,69,101,2,State_4
District_11,2018,35,89,388,3,State_4
District_12,2018,27,56,89,0,State_21
District_12,2018,24,77,262,1,State_21
District_12,2018,31,54,477,2,State_21
District_12,2018,26,52,23,3,State_21
District_13,2018,39,74,238,0,State_15
District_13,2018,31,72,197,1,State_15
District_13,2018,32,40,492,2,State_15
District_13,2018,22,62,424,3,State_15
District_14,2018,31,54,457,0,State_27
District_14,2018,39,87,441,1,State_27
District_14,2018,22,81,123,2,State_27
District_14,2018,27,61,5,3,State_27
District_15,2018,33,40,410,0,State_13
District_15,2018,23,66,5,1,State_13
District_15,2018,27,55,146,2,State_13
District_15,2018,38,75,434,3,State_13
District_16,2018,33,73,53,0,State_2
District_16,2018,20,78,298,1,State_2
District_16,2018,33,84,499,2,State_2
District_16,2018,31,56,147,3,State_2
District_17,2018,34,66,391,0,State_17
District_17,2018,35,68,132,1,State_17
District_17,2018,32,58,328,2,State_17
District_17,2018,37,62,445,3,State_17
District_18,2018,29,64,30,0,State_13
District_18,2018,20,50,80,1,State_13
District_18,2018,34,60,391,2,State_13
District_18,2018,30,86,4,3,State_13
District_19,2018,26,86,125,0,State_20
District_19,2018,21,79,238,1,State_20
District_19,2018,23,56,461,2,State_20
District_19,2018,37,88,103,3,State_20
District_20,2018,27,73,407,0,State_22
District_20,2018,38,78,307,1,State_22
District_20,2018,33,54,208,2,State_22
District_20,2018,32,43,225,3,State_22
District_21,2018,28,48,400,0,State_4
District_21,2018,33,53,391,1,State_4
District_21,2018,21,51,293,2,State_4
District_21,2018,22,84,244,3,State_4
District_22,2018,31,61,310,0,State_8
District_22,2018,28,53,439,1,State_8
District_22,2018,36,41,177,2,State_8
District_22,2018,38,57,355,3,State_8
District_23,2018,23,89,402,0,State_1
District_23,2018,29,47,49,1,State_1
District_23,2018,30,40,206,2,State_1
District_23,2018,21,40,140,3,State_1
District_24,2018,36,66,173,0,State_27
District_24,2018,28,78,346,1,State_27
District_24,2018,24,69,88,2,State_27
District_24,2018,35,44,65,3,State_27
District_25,2018,36,82,337,0,State_16
District_25,2018,39,77,93,1,State_16
District_25,2018,33,83,424,2,State_16
District_25,2018,32,50,239,3,State_16
District_26,2018,32,67,428,0,State_1
District_26,2018,20,41,109,1,State_1
District_26,2018,22,47,329,2,State_1
District_26,2018,31,41,249,3,State_1
District_27,2018,29,77,321,0,State_23
District_27,2018,28,42,199,1,State_23
District_27,2018,27,86,450,2,State_23
District_27,2018,23,86,186,3,State_23
District_28,2018,32,82,195,0,State_24
District_28,2018,30,65,28,1,State_24
District_28,2018,27,67,347,2,State_24
District_28,2018,25,46,444,3,State_24
District_29,2018,39,57,323,0,State_18
District_29,2018,33,77,304,1,State_18
District_29,2018,23,78,233,2,State_18
District_29,2018,35,71,295,3,State_18
District_30,2018,38,70,62,0,State_14
District_30,2018,39,84,219,1,State_14
District_30,2018,27,58,109,2,State_14
District_30,2018,33,51,106,3,State_14
District_31,2018,33,71,186,0,State_24
District_31,2018,36,53,234,1,State_24
District_31,2018,33,65,396,2,State_24
District_31,2018,28,55,98,3,State_24
District_32,2018,32,62,461,0,State_9
District_32,2018,36,53,55,1,State_9
District_32,2018,31,78,273,2,State_9
District_32,2018,23,89,271,3,State_9
District_33,2018,26,80,173,0,State_24
District_33,2018,29,68,109,1,State_24
District_33,2018,30,76,95,2,State_24
District_33,2018,20,65,472,3,State_24
District_34,2018,32,59,88,0,State_22
District_34,2018,23,45,177,1,State_22
District_34,2018,31,80,229,2,State_22
District_34,2018,27,79,240,3,State_22
District_35,2018,38,68,85,0,State_3
District_35,2018,33,81,73,1,State_3
District_35,2018,31,44,381,2,State_3
District_35,2018,36,77,328,3,State_3
District_36,2018,35,61,365,0,State_17
District_36,2018,37,46,25,1,State_17
District_36,2018,29,87,65,2,State_17
District_36,2018,29,72,232,3,State_17
District_37,2018,36,60,137,0,State_7
District_37,2018,28,81,164,1,State_7
District_37,2018,30,78,205,2,State_7
District_37,2018,20,74,244,3,State_7
District_38,2018,31,43,349,0,State_15
District_38,2018,27,80,296,1,State_15
District_38,2018,24,88,492,2,State_15
District_38,2018,26,49,470,3,State_15
District_39,2018,26,42,487,0,State_3
District_39,2018,23,45,387,1,State_3
District_39,2018,25,79,269,2,State_3
District_39,2018,21,73,287,3,State_3
District_40,2018,27,83,266,0,State_16
District_40,2018,32,81,182,1,State_16
District_40,2018,27,49,131,2,State_16
District_40,2018,20,65,245,3,State_16
District_41,2018,25,67,363,0,State_8
District_41,2018,21,80,254,1,State_8
District_41,2018,38,81,412,2,State_8
District_41,2018,29,52,355,3,State_8
District_42,2018,39,45,73,0,State_12
District_42,2018,36,40,499,1,State_12
District_42,2018,36,59,364,2,State_12
District_42,2018,26,51,261,3,State_12
District_43,2018,36,79,256,0,State_12
District_43,2018,30,46,270,1,State_12
District_43,2018,33,85,58,2,State_12
District_43,2018,24,70,393,3,State_12
District_44,2018,31,45,76,0,State_11
District_44,2018,31,54,136,1,State_11
District_44,2018,20,48,302,2,State_11
District_44,2018,23,84,408,3,State_11
District_45,2018,35,63,485,0,State_3
District_45,2018,29,79,410,1,State_3
District_45,2018,23,49,477,2,State_3
District_45,2018,22,59,428,3,State_3
District_46,2018,26,76,294,0,State_6
District_46,2018,23,44,396,1,State_6
District_46,2018,24,48,266,2,State_6
District_46,2018,35,54,389,3,State_6
District_47,2018,35,69,257,0,State_16
District_47,2018,31,83,250,1,State_16
District_47,2018,24,84,274,2,State_16
District_47,2018,39,87,100,3,State_16
District_48,2018,21,69,52,0,State_5
District_48,2018,39,63,319,1,State_5
District_48,2018,22,63,103,2,State_5
District_48,2018,38,70,94,3,State_5
District_49,2018,36,56,339,0,State_1
District_49,2018,23,47,247,1,State_1
District_49,2018,24,64,450,2,State_1
District_49,2018,25,43,352,3,State_1
District_50,2018,38,50,52,0,State_22
District_50,2018,33,64,392,1,State_22
District_50,2018,27,55,306,2,State_22
District_50,2018,25,87,99,3,State_22
District_51,2018,33,57,7,0,State_6
District_51,2018,27,83,42,1,State_6
District_51,2018,22,52,439,2,State_6
District_51,2018,20,57,307,3,State_6
District_52,2018,22,50,316,0,State_4
District_52,2018,38,42,15,1,State_4
District_52,2018,37,77,215,2,State_4
District_52,2018,37,66,49,3,State_4
District_53,2018,32,85,98,0,State_4
District_53,2018,29,64,90,1,State_4
District_53,2018,20,53,361,2,State_4
District_53,2018,37,87,60,3,State_4
District_54,2018,34,66,172,0,State_19
District_54,2018,34,64,354,1,State_19
District_54,2018,22,72,490,2,State_19
District_54,2018,32,47,388,3,State_19
District_55,2018,21,63,272,0,State_4
District_55,2018,28,60,409,1,State_4
District_55,2018,38,48,419,2,State_4
District_55,2018,26,65,354,3,State_4
