District,Disease,Year,No_of_Cases,Quarter
District_1,Chikungunya,2018,67,0
District_1,Dengue,2018,69,0
District_1,Yellow fever,2018,14,0
District_1,Malaria,2018,68,0
District_1,Chikungunya,2018,80,1
District_1,Dengue,2018,51,1
District_1,Yellow fever,2018,49,1
District_1,Malaria,2018,6,1
District_1,Chikungunya,2018,52,2
District_1,Dengue,2018,88,2
District_1,Yellow fever,2018,7,2
District_1,Malaria,2018,51,2
District_1,Chikungunya,2018,22,3
District_1,Dengue,2018,15,3
District_1,Yellow fever,2018,30,3
District_1,Malaria,2018,52,3
District_2,Chikungunya,2018,44,0
District_2,Dengue,2018,51,0
District_2,Yellow fever,2018,19,0
District_2,Malaria,2018,96,0
District_2,Chikungunya,2018,9,1
District_2,Dengue,2018,39,1
District_2,Yellow fever,2018,4,1
District_2,Malaria,2018,30,1
District_2,Chikungunya,2018,60,2
District_2,Dengue,2018,90,2
District_2,Yellow fever,2018,76,2
District_2,Malaria,2018,22,2
District_2,Chikungunya,2018,7,3
District_2,Dengue,2018,76,3
District_2,Yellow fever,2018,60,3
District_2,Malaria,2018,94,3
District_3,Chikungunya,2018,31,0
District_3,Dengue,2018,26,0
District_3,Yellow fever,2018,2,0
District_3,Malaria,2018,81,0
District_3,Chikungunya,2018,80,1
District_3,Dengue,2018,59,1
District_3,Yellow fever,2018,99,1
District_3,Malaria,2018,24,1
District_3,Chikungunya,2018,15,2
District_3,Dengue,2018,27,2
District_3,Yellow fever,2018,69,2
District_3,Malaria,2018,32,2
District_3,Chikungunya,2018,95,3
District_3,Dengue,2018,10,3
District_3,Yellow fever,2018,58,3
District_3,Malaria,2018,10,3
District_4,Chikungunya,2018,84,0
District_4,Dengue,2018,11,0
District_4,Yellow fever,2018,83,0
District_4,Malaria,2018,66,0
District_4,Chikungunya,2018,84,1
District_4,Dengue,2018,60,1
District_4,Yellow fever,2018,81,1
District_4,Malaria,2018,81,1
District_4,Chikungunya,2018,21,2
District_4,Dengue,2018,98,2
District_4,Yellow fever,2018,45,2
District_4,Malaria,2018,74,2
District_4,Chikungunya,2018,92,3
District_4,Dengue,2018,69,3
District_4,Yellow fever,2018,97,3
District_4,Malaria,2018,86,3
District_5,Chikungunya,2018,16,0
District_5,Dengue,2018,11,0
District_5,Yellow fever,2018,37,0
District_5,Malaria,2018,53,0
District_5,Chikungunya,2018,31,1
District_5,Dengue,2018,30,1
District_5,Yellow fever,2018,14,1
District_5,Malaria,2018,60,1
District_5,Chikungunya,2018,71,2
District_5,Dengue,2018,70,2
District_5,Yellow fever,2018,87,2
District_5,Malaria,2018,69,2
District_5,Chikungunya,2018,74,3
District_5,Dengue,2018,1,3
District_5,Yellow fever,2018,46,3
District_5,Malaria,2018,44,3
District_6,Chikungunya,2018,23,0
District_6,Dengue,2018,63,0
District_6,Yellow fever,2018,15,0
District_6,Malaria,2018,50,0
District_6,Chikungunya,2018,26,1
District_6,Dengue,2018,58,1
District_6,Yellow fever,2018,63,1
District_6,Malaria,2018,13,1
District_6,Chikungunya,2018,82,2
District_6,Dengue,2018,67,2
District_6,Yellow fever,2018,41,2
District_6,Malaria,2018,94,2
District_6,Chikungunya,2018,56,3
District_6,Dengue,2018,88,3
District_6,Yellow fever,2018,98,3
District_6,Malaria,2018,21,3
District_7,Chikungunya,2018,23,0
District_7,Dengue,2018,40,0
District_7,Yellow fever,2018,8,0
District_7,Malaria,2018,45,0
District_7,Chikungunya,2018,99,1
District_7,Dengue,2018,60,1
District_7,Yellow fever,2018,90,1
District_7,Malaria,2018,64,1
District_7,Chikungunya,2018,67,2
District_7,Dengue,2018,44,2
District_7,Yellow fever,2018,4,2
District_7,Malaria,2018,31,2
District_7,Chikungunya,2018,7,3
District_7,Dengue,2018,87,3
District_7,Yellow fever,2018,80,3
District_7,Malaria,2018,25,3
District_8,Chikungunya,2018,38,0
District_8,Dengue,2018,89,0
District_8,Yellow fever,2018,55,0
District_8,Malaria,2018,80,0
District_8,Chikungunya,2018,91,1
District_8,Dengue,2018,82,1
District_8,Yellow fever,2018,42,1
District_8,Malaria,2018,60,1
District_8,Chikungunya,2018,96,2
District_8,Dengue,2018,68,2
District_8,Yellow fever,2018,39,2
District_8,Malaria,2018,29,2
District_8,Chikungunya,2018,65,3
District_8,Dengue,2018,6,3
District_8,Yellow fever,2018,12,3
District_8,Malaria,2018,68,3
District_9,Chikungunya,2018,20,0
District_9,Dengue,2018,17,0
District_9,Yellow fever,2018,60,0
District_9,Malaria,2018,31,0
District_9,Chikungunya,2018,93,1
District_9,Dengue,2018,45,1
District_9,Yellow fever,2018,91,1
District_9,Malaria,2018,1,1
District_9,Chikungunya,2018,7,2
District_9,Dengue,2018,98,2
District_9,Yellow fever,2018,31,2
District_9,Malaria,2018,96,2
District_9,Chikungunya,2018,65,3
District_9,Dengue,2018,8,3
District_9,Yellow fever,2018,93,3
District_9,Malaria,2018,74,3
District_10,Chikungunya,2018,96,0
District_10,Dengue,2018,62,0
District_10,Yellow fever,2018,17,0
District_10,Malaria,2018,61,0
District_10,Chikungunya,2018,24,1
District_10,Dengue,2018,24,1
District_10,Yellow fever,2018,92,1
District_10,Malaria,2018,4,1
District_10,Chikungunya,2018,6,2
District_10,Dengue,2018,89,2
District_10,Yellow fever,2018,32,2
District_10,Malaria,2018,80,2
District_10,Chikungunya,2018,52,3
District_10,Dengue,2018,95,3
District_10,Yellow fever,2018,54,3
District_10,Malaria,2018,18,3
District_11,Chikungunya,2018,43,0
District_11,Dengue,2018,84,0
District_11,Yellow fever,2018,51,0
District_11,Malaria,2018,78,0
District_11,Chikungunya,2018,36,1
District_11,Dengue,2018,94,1
District_11,Yellow fever,2018,72,1
District_11,Malaria,2018,54,1
District_11,Chikungunya,2018,13,2
District_11,Dengue,2018,98,2
District_11,Yellow fever,2018,69,2
District_11,Malaria,2018,80,2
District_11,Chikungunya,2018,62,3
District_11,Dengue,2018,57,3
District_11,Yellow fever,2018,68,3
District_11,Malaria,2018,3,3
District_12,Chikungunya,2018,64,0
District_12,Dengue,2018,12,0
District_12,Yellow fever,2018,6,0
District_12,Malaria,2018,90,0
District_12,Chikungunya,2018,39,1
District_12,Dengue,2018,83,1
District_12,Yellow fever,2018,40,1
District_12,Malaria,2018,19,1
District_12,Chikungunya,2018,0,2
District_12,Dengue,2018,76,2
District_12,Yellow fever,2018,81,2
District_12,Malaria,2018,14,2
District_12,Chikungunya,2018,82,3
District_12,Dengue,2018,98,3
District_12,Yellow fever,2018,92,3
District_12,Malaria,2018,5,3
District_13,Chikungunya,2018,25,0
District_13,Dengue,2018,66,0
District_13,Yellow fever,2018,59,0
District_13,Malaria,2018,8,0
District_13,Chikungunya,2018,7,1
District_13,Dengue,2018,76,1
District_13,Yellow fever,2018,37,1
District_13,Malaria,2018,63,1
District_13,Chikungunya,2018,18,2
District_13,Dengue,2018,31,2
District_13,Yellow fever,2018,29,2
District_13,Malaria,2018,94,2
District_13,Chikungunya,2018,25,3
District_13,Dengue,2018,76,3
District_13,Yellow fever,2018,7,3
District_13,Malaria,2018,21,3
District_14,Chikungunya,2018,34,0
District_14,Dengue,2018,52,0
District_14,Yellow fever,2018,59,0
District_14,Malaria,2018,83,0
District_14,Chikungunya,2018,64,1
District_14,Dengue,2018,18,1
District_14,Yellow fever,2018,72,1
District_14,Malaria,2018,27,1
District_14,Chikungunya,2018,44,2
District_14,Dengue,2018,64,2
District_14,Yellow fever,2018,92,2
District_14,Malaria,2018,60,2
District_14,Chikungunya,2018,6,3
District_14,Dengue,2018,1,3
District_14,Yellow fever,2018,64,3
District_14,Malaria,2018,17,3
District_15,Chikungunya,2018,61,0
District_15,Dengue,2018,40,0
District_15,Yellow fever,2018,16,0
District_15,Malaria,2018,12,0
District_15,Chikungunya,2018,41,1
District_15,Dengue,2018,50,1
District_15,Yellow fever,2018,58,1
District_15,Malaria,2018,78,1
District_15,Chikungunya,2018,93,2
District_15,Dengue,2018,4,2
District_15,Yellow fever,2018,73,2
District_15,Malaria,2018,93,2
District_15,Chikungunya,2018,13,3
District_15,Dengue,2018,23,3
District_15,Yellow fever,2018,18,3
District_15,Malaria,2018,76,3
District_16,Chikungunya,2018,89,0
District_16,Dengue,2018,89,0
District_16,Yellow fever,2018,25,0
District_16,Malaria,2018,28,0
District_16,Chikungunya,2018,94,1
District_16,Dengue,2018,83,1
District_16,Yellow fever,2018,63,1
District_16,Malaria,2018,82,1
District_16,Chikungunya,2018,7,2
District_16,Dengue,2018,7,2
District_16,Yellow fever,2018,17,2
District_16,Malaria,2018,99,2
District_16,Chikungunya,2018,11,3
District_16,Dengue,2018,97,3
District_16,Yellow fever,2018,74,3
District_16,Malaria,2018,92,3
District_17,Chikungunya,2018,67,0
District_17,Dengue,2018,19,0
District_17,Yellow fever,2018,29,0
District_17,Malaria,2018,31,0
District_17,Chikungunya,2018,72,1
District_17,Dengue,2018,47,1
District_17,Yellow fever,2018,91,1
District_17,Malaria,2018,83,1
District_17,Chikungunya,2018,23,2
District_17,Dengue,2018,7,2
District_17,Yellow fever,2018,95,2
District_17,Malaria,2018,10,2
District_17,Chikungunya,2018,58,3
District_17,Dengue,2018,57,3
District_17,Yellow fever,2018,66,3
District_17,Malaria,2018,49,3
District_18,Chikungunya,2018,83,0
District_18,Dengue,2018,54,0
District_18,Yellow fever,2018,5,0
District_18,Malaria,2018,23,0
District_18,Chikungunya,2018,32,1
District_18,Dengue,2018,14,1
District_18,Yellow fever,2018,76,1
District_18,Malaria,2018,32,1
District_18,Chikungunya,2018,5,2
District_18,Dengue,2018,13,2
District_18,Yellow fever,2018,9,2
District_18,Malaria,2018,98,2
District_18,Chikungunya,2018,85,3
District_18,Dengue,2018,38,3
District_18,Yellow fever,2018,14,3
District_18,Malaria,2018,26,3
District_19,Chikungunya,2018,47,0
District_19,Dengue,2018,51,0
District_19,Yellow fever,2018,62,0
District_19,Malaria,2018,19,0
District_19,Chikungunya,2018,11,1
District_19,Dengue,2018,3,1
District_19,Yellow fever,2018,72,1
District_19,Malaria,2018,63,1
District_19,Chikungunya,2018,67,2
District_19,Dengue,2018,66,2
District_19,Yellow fever,2018,15,2
District_19,Malaria,2018,32,2
District_19,Chikungunya,2018,86,3
District_19,Dengue,2018,92,3
District_19,Yellow fever,2018,37,3
District_19,Malaria,2018,15,3
District_20,Chikungunya,2018,62,0
District_20,Dengue,2018,2,0
District_20,Yellow fever,2018,6,0
District_20,Malaria,2018,55,0
District_20,Chikungunya,2018,38,1
District_20,Dengue,2018,82,1
District_20,Yellow fever,2018,25,1
District_20,Malaria,2018,15,1
District_20,Chikungunya,2018,72,2
District_20,Dengue,2018,2,2
District_20,Yellow fever,2018,64,2
District_20,Malaria,2018,77,2
District_20,Chikungunya,2018,92,3
District_20,Dengue,2018,49,3
District_20,Yellow fever,2018,13,3
District_20,Malaria,2018,30,3
District_21,Chikungunya,2018,58,0
District_21,Dengue,2018,87,0
District_21,Yellow fever,2018,99,0
District_21,Malaria,2018,55,0
District_21,Chikungunya,2018,74,1
District_21,Dengue,2018,20,1
District_21,Yellow fever,2018,35,1
District_21,Malaria,2018,76,1
District_21,Chikungunya,2018,65,2
District_21,Dengue,2018,10,2
District_21,Yellow fever,2018,59,2
District_21,Malaria,2018,71,2
District_21,Chikungunya,2018,88,3
District_21,Dengue,2018,29,3
District_21,Yellow fever,2018,21,3
District_21,Malaria,2018,78,3
District_22,Chikungunya,2018,57,0
District_22,Dengue,2018,34,0
District_22,Yellow fever,2018,46,0
District_22,Malaria,2018,74,0
District_22,Chikungunya,2018,43,1
District_22,Dengue,2018,41,1
District_22,Yellow fever,2018,70,1
District_22,Malaria,2018,88,1
District_22,Chikungunya,2018,92,2
District_22,Dengue,2018,12,2
District_22,Yellow fever,2018,8,2
District_22,Malaria,2018,58,2
District_22,Chikungunya,2018,51,3
District_22,Dengue,2018,99,3
District_22,Yellow fever,2018,87,3
District_22,Malaria,2018,92,3
District_23,Chikungunya,2018,82,0
District_23,Dengue,2018,53,0
District_23,Yellow fever,2018,38,0
District_23,Malaria,2018,64,0
District_23,Chikungunya,2018,58,1
District_23,Dengue,2018,96,1
District_23,Yellow fever,2018,88,1
District_23,Malaria,2018,28,1
District_23,Chikungunya,2018,54,2
District_23,Dengue,2018,21,2
District_23,Yellow fever,2018,44,2
District_23,Malaria,2018,30,2
District_23,Chikungunya,2018,99,3
District_23,Dengue,2018,47,3
District_23,Yellow fever,2018,28,3
District_23,Malaria,2018,15,3
District_24,Chikungunya,2018,31,0
District_24,Dengue,2018,60,0
District_24,Yellow fever,2018,59,0
District_24,Malaria,2018,55,0
District_24,Chikungunya,2018,67,1
District_24,Dengue,2018,39,1
District_24,Yellow fever,2018,54,1
District_24,Malaria,2018,29,1
District_24,Chikungunya,2018,30,2
District_24,Dengue,2018,43,2
District_24,Yellow fever,2018,90,2
District_24,Malaria,2018,32,2
District_24,Chikungunya,2018,88,3
District_24,Dengue,2018,10,3
District_24,Yellow fever,2018,83,3
District_24,Malaria,2018,78,3
District_25,Chikungunya,2018,62,0
District_25,Dengue,2018,96,0
District_25,Yellow fever,2018,44,0
District_25,Malaria,2018,43,0
District_25,Chikungunya,2018,17,1
District_25,Dengue,2018,92,1
District_25,Yellow fever,2018,41,1
District_25,Malaria,2018,2,1
District_25,Chikungunya,2018,38,2
District_25,Dengue,2018,74,2
District_25,Yellow fever,2018,77,2
District_25,Malaria,2018,55,2
District_25,Chikungunya,2018,61,3
District_25,Dengue,2018,51,3
District_25,Yellow fever,2018,83,3
District_25,Malaria,2018,87,3
District_26,Chikungunya,2018,19,0
District_26,Dengue,2018,48,0
District_26,Yellow fever,2018,13,0
District_26,Malaria,2018,61,0
District_26,Chikungunya,2018,61,1
District_26,Dengue,2018,22,1
District_26,Yellow fever,2018,2,1
District_26,Malaria,2018,15,1
District_26,Chikungunya,2018,93,2
District_26,Dengue,2018,8,2
District_26,Yellow fever,2018,27,2
District_26,Malaria,2018,98,2
District_26,Chikungunya,2018,69,3
District_26,Dengue,2018,95,3
District_26,Yellow fever,2018,91,3
District_26,Malaria,2018,92,3
District_27,Chikungunya,2018,23,0
District_27,Dengue,2018,22,0
District_27,Yellow fever,2018,12,0
District_27,Malaria,2018,23,0
District_27,Chikungunya,2018,10,1
District_27,Dengue,2018,0,1
District_27,Yellow fever,2018,37,1
District_27,Malaria,2018,6,1
District_27,Chikungunya,2018,21,2
District_27,Dengue,2018,25,2
District_27,Yellow fever,2018,64,2
District_27,Malaria,2018,96,2
District_27,Chikungunya,2018,67,3
District_27,Dengue,2018,54,3
District_27,Yellow fever,2018,50,3
District_27,Malaria,2018,69,3
District_28,Chikungunya,2018,73,0
District_28,Dengue,2018,26,0
District_28,Yellow fever,2018,82,0
District_28,Malaria,2018,28,0
District_28,Chikungunya,2018,14,1
District_28,Dengue,2018,16,1
District_28,Yellow fever,2018,35,1
District_28,Malaria,2018,91,1
District_28,Chikungunya,2018,23,2
District_28,Dengue,2018,3,2
District_28,Yellow fever,2018,18,2
District_28,Malaria,2018,56,2
District_28,Chikungunya,2018,70,3
District_28,Dengue,2018,4,3
District_28,Yellow fever,2018,29,3
District_28,Malaria,2018,62,3
District_29,Chikungunya,2018,23,0
District_29,Dengue,2018,21,0
District_29,Yellow fever,2018,98,0
District_29,Malaria,2018,58,0
