District,Year,Population_Density
District_1,2018,4977
District_1,2019,6255
District_1,2020,2379
District_1,2021,19749
District_1,2022,5423
District_1,2023,14747
District_2,2018,19337
District_2,2019,14618
District_2,2020,17208
District_2,2021,3622
District_2,2022,7970
District_2,2023,7625
District_3,2018,5064
District_3,2019,11088
District_3,2020,7545
District_3,2021,15870
District_3,2022,19294
District_3,2023,3890
District_4,2018,12248
District_4,2019,12558
District_4,2020,8115
District_4,2021,16286
District_4,2022,1807
District_4,2023,571
District_5,2018,10540
District_5,2019,16646
District_5,2020,695
District_5,2021,9192
District_5,2022,19959
District_5,2023,690
District_6,2018,7170
District_6,2019,10376
District_6,2020,8481
District_6,2021,7932
District_6,2022,4659
District_6,2023,4880
District_7,2018,6088
District_7,2019,3339
District_7,2020,3440
District_7,2021,7619
District_7,2022,13130
District_7,2023,9727
District_8,2018,14376
District_8,2019,12385
District_8,2020,1307
District_8,2021,5293
District_8,2022,16475
District_8,2023,460
District_9,2018,5800
District_9,2019,13929
District_9,2020,13866
District_9,2021,2689
District_9,2022,7421
District_9,2023,5490
District_10,2018,524
District_10,2019,13350
District_10,2020,15803
District_10,2021,8754
District_10,2022,17586
District_10,2023,13734
District_11,2018,16731
District_11,2019,13205
District_11,2020,7750
District_11,2021,11221
District_11,2022,13690
District_11,2023,4775
District_12,2018,14140
District_12,2019,4231
District_12,2020,4474
District_12,2021,13886
District_12,2022,13399
District_12,2023,9002
District_13,2018,3990
District_13,2019,18348
District_13,2020,12047
District_13,2021,14202
District_13,2022,1673
District_13,2023,9563
District_14,2018,1909
District_14,2019,15855
District_14,2020,13848
District_14,2021,4118
District_14,2022,120
District_14,2023,10509
District_15,2018,7842
District_15,2019,10023
District_15,2020,316
District_15,2021,17080
District_15,2022,3778
District_15,2023,7789
District_16,2018,7188
District_16,2019,6099
District_16,2020,13102
District_16,2021,14233
District_16,2022,18562
District_16,2023,5086
District_17,2018,3612
District_17,2019,2977
District_17,2020,17129
District_17,2021,8368
District_17,2022,7095
District_17,2023,7106
District_18,2018,6856
District_18,2019,4274
District_18,2020,3784
District_18,2021,13143
District_18,2022,18631
District_18,2023,11423
District_19,2018,2056
District_19,2019,4321
District_19,2020,13584
District_19,2021,767
District_19,2022,11340
District_19,2023,7091
District_20,2018,13163
District_20,2019,19934
District_20,2020,920
District_20,2021,9377
District_20,2022,4175
District_20,2023,6937
District_21,2018,7627
District_21,2019,6333
District_21,2020,10206
District_21,2021,12019
District_21,2022,364
District_21,2023,4546
District_22,2018,3042
District_22,2019,15317
District_22,2020,8797
District_22,2021,9505
District_22,2022,10631
District_22,2023,3311
District_23,2018,5508
District_23,2019,15799
District_23,2020,13035
District_23,2021,11865
District_23,2022,372
District_23,2023,16482
District_24,2018,19917
District_24,2019,17728
District_24,2020,2198
District_24,2021,13197
District_24,2022,17852
District_24,2023,10708
District_25,2018,10696
District_25,2019,1138
District_25,2020,1291
District_25,2021,14833
District_25,2022,9513
District_25,2023,323
District_26,2018,12995
District_26,2019,706
District_26,2020,3692
District_26,2021,509
District_26,2022,6194
District_26,2023,15718
District_27,2018,8838
District_27,2019,5976
District_27,2020,4168
District_27,2021,10425
District_27,2022,17035
District_27,2023,15700
District_28,2018,1308
District_28,2019,16979
District_28,2020,838
District_28,2021,8424
District_28,2022,1425
District_28,2023,811
District_29,2018,16276
District_29,2019,3127
District_29,2020,14183
District_29,2021,5314
District_29,2022,16616
District_29,2023,4990
District_30,2018,15790
District_30,2019,19231
District_30,2020,5527
District_30,2021,13869
District_30,2022,1138
District_30,2023,11563
District_31,2018,16155
District_31,2019,7278
District_31,2020,10397
District_31,2021,10106
District_31,2022,7149
District_31,2023,14358
District_32,2018,8284
District_32,2019,17481
District_32,2020,5196
District_32,2021,3145
District_32,2022,13722
District_32,2023,19765
District_33,2018,13106
District_33,2019,15030
District_33,2020,11118
District_33,2021,12691
District_33,2022,5188
District_33,2023,1400
District_34,2018,1189
District_34,2019,13027
District_34,2020,1766
District_34,2021,2886
District_34,2022,18118
District_34,2023,11793
District_35,2018,17856
District_35,2019,18486
District_35,2020,724
District_35,2021,13080
District_35,2022,509
District_35,2023,10702
District_36,2018,7114
District_36,2019,15222
District_36,2020,7044
District_36,2021,2027
District_36,2022,3526
District_36,2023,12962
District_37,2018,15254
District_37,2019,9627
District_37,2020,19175
District_37,2021,17857
District_37,2022,205
District_37,2023,5835
District_38,2018,14272
District_38,2019,15689
District_38,2020,1539
District_38,2021,6702
District_38,2022,10197
District_38,2023,13636
District_39,2018,19644
District_39,2019,11812
District_39,2020,16486
District_39,2021,837
District_39,2022,19049
District_39,2023,13250
District_40,2018,17358
District_40,2019,16903
District_40,2020,7161
District_40,2021,11895
District_40,2022,19568
District_40,2023,12864
District_41,2018,14903
District_41,2019,4216
District_41,2020,11911
District_41,2021,9692
District_41,2022,10982
District_41,2023,8095
District_42,2018,885
District_42,2019,18068
District_42,2020,18576
District_42,2021,12516
District_42,2022,15276
District_42,2023,17865
District_43,2018,7648
District_43,2019,2307
District_43,2020,6424
District_43,2021,16466
District_43,2022,13008
District_43,2023,15982
District_44,2018,8061
District_44,2019,14590
District_44,2020,5765
District_44,2021,8572
District_44,2022,7631
District_44,2023,2738
District_45,2018,12391
District_45,2019,6033
District_45,2020,6617
District_45,2021,636
District_45,2022,2272
District_45,2023,9527
District_46,2018,14212
District_46,2019,6654
District_46,2020,9237
District_46,2021,8275
District_46,2022,271
District_46,2023,12994
District_47,2018,7922
District_47,2019,7724
District_47,2020,15550
District_47,2021,14020
District_47,2022,16146
District_47,2023,15194
District_48,2018,4695
District_48,2019,17881
District_48,2020,1226
District_48,2021,11772
District_48,2022,12257
District_48,2023,14120
District_49,2018,7537
District_49,2019,106
District_49,2020,5788
District_49,2021,17138
District_49,2022,9399
District_49,2023,2720
District_50,2018,12848
District_50,2019,4418
District_50,2020,10118
District_50,2021,220
District_50,2022,15510
District_50,2023,9621
District_51,2018,10043
District_51,2019,12138
District_51,2020,11024
District_51,2021,7372
District_51,2022,461
District_51,2023,10009
District_52,2018,1701
District_52,2019,9812
District_52,2020,14491
District_52,2021,2145
District_52,2022,3452
District_52,2023,8418
District_53,2018,14344
District_53,2019,13195
District_53,2020,10422
District_53,2021,17188
District_53,2022,4237
District_53,2023,19869
District_54,2018,13460
District_54,2019,2344
District_54,2020,2738
District_54,2021,17840
District_54,2022,5821
District_54,2023,8002
District_55,2018,17467
District_55,2019,9061
District_55,2020,11063
District_55,2021,19129
District_55,2022,10660
District_55,2023,14646
District_56,2018,14564
District_56,2019,5956
District_56,2020,11499
District_56,2021,871
District_56,2022,9585
District_56,2023,17271
District_57,2018,3649
District_57,2019,8878
District_57,2020,17079
District_57,2021,18576
District_57,2022,7444
District_57,2023,18408
District_58,2018,18738
District_58,2019,2775
District_58,2020,18439
District_58,2021,3734
District_58,2022,10999
District_58,2023,9578
District_59,2018,1798
District_59,2019,14327
District_59,2020,8579
District_59,2021,6920
District_59,2022,2848
District_59,2023,7150
District_60,2018,7621
District_60,2019,15108
District_60,2020,10572
District_60,2021,13023
District_60,2022,429
District_60,2023,7240
District_61,2018,10566
District_61,2019,9610
District_61,2020,2188
District_61,2021,16884
District_61,2022,19668
District_61,2023,3688
District_62,2018,16027
District_62,2019,5332
District_62,2020,14227
District_62,2021,9720
District_62,2022,2975
District_62,2023,5889
District_63,2018,10276
District_63,2019,16699
District_63,2020,1045
District_63,2021,12170
District_63,2022,19264
District_63,2023,3431
District_64,2018,6587
District_64,2019,8780
District_64,2020,3883
District_64,2021,533
District_64,2022,14762
District_64,2023,16597
District_65,2018,9458
District_65,2019,6974
District_65,2020,9206
District_65,2021,7936
District_65,2022,16966
District_65,2023,192
District_66,2018,10040
District_66,2019,8877
District_66,2020,7084
District_66,2021,16952
District_66,2022,15594
District_66,2023,17942
District_67,2018,19553
District_67,2019,17104
District_67,2020,297
District_67,2021,8696
District_67,2022,3245
District_67,2023,5100
District_68,2018,7636
District_68,2019,4248
District_68,2020,6425
District_68,2021,10592
District_68,2022,7188
District_68,2023,12536
District_69,2018,10912
District_69,2019,7305
District_69,2020,11927
District_69,2021,15673
District_69,2022,1655
District_69,2023,16738
District_70,2018,6608
District_70,2019,6932
District_70,2020,2893
District_70,2021,15778
District_70,2022,17322
District_70,2023,14134
District_71,2018,16612
District_71,2019,2618
District_71,2020,13817
District_71,2021,11979
District_71,2022,5789
District_71,2023,5956
District_72,2018,12061
District_72,2019,15229
District_72,2020,17903
District_72,2021,3699
District_72,2022,17656
District_72,2023,4531
District_73,2018,8304
District_73,2019,15088
District_73,2020,7262
District_73,2021,3242
District_73,2022,9348
District_73,2023,9916
District_74,2018,6800
District_74,2019,18061
District_74,2020,17916
District_74,2021,12022
District_74,2022,19216
District_74,2023,18186
District_75,2018,15158
District_75,2019,17583
District_75,2020,9286
District_75,2021,9463
District_75,2022,17502
District_75,2023,9221
District_76,2018,19866
District_76,2019,397
District_76,2020,11847
District_76,2021,16186
District_76,2022,5915
District_76,2023,16541
District_77,2018,12974
District_77,2019,13556
District_77,2020,1377
District_77,2021,13827
District_77,2022,8117
District_77,2023,17444
District_78,2018,17344
District_78,2019,6248
District_78,2020,15001
District_78,2021,11202
District_78,2022,8107
District_78,2023,4700
District_79,2018,11215
District_79,2019,1454
District_79,2020,17967
District_79,2021,5905
District_79,2022,15416
District_79,2023,2845
District_80,2018,18938
District_80,2019,2671
District_80,2020,5335
District_80,2021,1731
District_80,2022,6985
District_80,2023,18185
District_81,2018,1873
District_81,2019,2459
District_81,2020,3270
District_81,2021,267
District_81,2022,1014
District_81,2023,4622
District_82,2018,5286
District_82,2019,7338
District_82,2020,216
District_82,2021,12722
District_82,2022,8521
District_82,2023,2830
District_83,2018,8307
District_83,2019,5300
District_83,2020,7692
District_83,2021,19088
District_83,2022,16460
District_83,2023,17965
District_84,2018,11481
District_84,2019,11615
District_84,2020,3751
District_84,2021,16907
District_84,2022,5276
District_84,2023,19149
District_85,2018,6321
District_85,2019,3151
District_85,2020,10312
District_85,2021,10451
District_85,2022,4961
District_85,2023,8465
District_86,2018,19028
District_86,2019,11305
District_86,2020,2985
District_86,2021,1781
District_86,2022,3190
District_86,2023,9011
District_87,2018,16805
District_87,2019,14278
District_87,2020,17016
District_87,2021,2680
District_87,2022,11197
District_87,2023,13985
District_88,2018,5737
District_88,2019,8161
District_88,2020,16388
District_88,2021,17624
District_88,2022,4182
District_88,2023,14407
District_89,2018,18649
District_89,2019,5590
District_89,2020,2849
District_89,2021,15763
District_89,2022,18539
District_89,2023,18350
District_90,2018,8603
District_90,2019,17519
District_90,2020,15199
District_90,2021,3059
District_90,2022,12389
District_90,2023,435
District_91,2018,3812
District_91,2019,16020
District_91,2020,14196
District_91,2021,2259
District_91,2022,7766
District_91,2023,16657
District_92,2018,5181
District_92,2019,10042
District_92,2020,7607
District_92,2021,6974
District_92,2022,6142
District_92,2023,12905
District_93,2018,19079
District_93,2019,10046
District_93,2020,2496
District_93,2021,13828
District_93,2022,5378
District_93,2023,4529
District_94,2018,15896
District_94,2019,14407
District_94,2020,10496
District_94,2021,3880
District_94,2022,3710
District_94,2023,7906
District_95,2018,8647
District_95,2019,10966
District_95,2020,4600
District_95,2021,3673
District_95,2022,322
District_95,2023,13822
District_96,2018,10112
District_96,2019,200
District_96,2020,1789
District_96,2021,5307
District_96,2022,14016
District_96,2023,7330
District_97,2018,1788
District_97,2019,1163
District_97,2020,10310
District_97,2021,19149
District_97,2022,11855
District_97,2023,8989
District_98,2018,14662
District_98,2019,2003
District_98,2020,10787
District_98,2021,1165
District_98,2022,19804
District_98,2023,17323
District_99,2018,10498
District_99,2019,18270
District_99,2020,13343
District_99,2021,12419
District_99,2022,393
District_99,2023,13564
District_100,2018,15665
District_100,2019,5637
District_100,2020,18607
District_100,2021,5580
District_100,2022,14136
District_100,2023,8345
District_101,2018,18017
District_101,2019,15748
District_101,2020,10072
District_101,2021,9787
District_101,2022,8709
District_101,2023,18618
District_102,2018,14095
District_102,2019,18262
District_102,2020,6581
District_102,2021,2023
District_102,2022,3928
District_102,2023,922
District_103,2018,18722
District_103,2019,15307
District_103,2020,15657
District_103,2021,18010
District_103,2022,9393
District_103,2023,1851
District_104,2018,11106
District_104,2019,6422
District_104,2020,8687
District_104,2021,8759
District_104,2022,3484
District_104,2023,2067
District_105,2018,16530
District_105,2019,16702
District_105,2020,2013
District_105,2021,12962
District_105,2022,19466
District_105,2023,11434
District_106,2018,16313
District_106,2019,19499
District_106,2020,5474
District_106,2021,16019
District_106,2022,12807
District_106,2023,19726
District_107,2018,7353
District_107,2019,3768
District_107,2020,17851
District_107,2021,14232
District_107,2022,270
District_107,2023,11342
District_108,2018,13399
District_108,2019,7206
District_108,2020,8581
District_108,2021,14026
District_108,2022,11833
District_108,2023,10481
District_109,2018,9035
District_109,2019,15920
District_109,2020,15808
District_109,2021,12973
District_109,2022,213
District_109,2023,5899
District_110,2018,2971
District_110,2019,14445
District_110,2020,13551
District_110,2021,19284
District_110,2022,244
District_110,2023,7478
District_111,2018,8550
District_111,2019,10104
District_111,2020,8769
District_111,2021,13523
District_111,2022,3473
District_111,2023,15458
District_112,2018,1444
District_112,2019,18479
District_112,2020,17584
District_112,2021,13454
District_112,2022,7317
District_112,2023,5359
District_113,2018,19376
District_113,2019,9491
District_113,2020,501
District_113,2021,5032
District_113,2022,15837
District_113,2023,14127
District_114,2018,18081
District_114,2019,11555
District_114,2020,14907
District_114,2021,11691
District_114,2022,17843
District_114,2023,4868
District_115,2018,16126
District_115,2019,12320
District_115,2020,9957
District_115,2021,5954
District_115,2022,10857
District_115,2023,6110
District_116,2018,13698
District_116,2019,17798
District_116,2020,1941
District_116,2021,8622
District_116,2022,8832
District_116,2023,12864
District_117,2018,15725
District_117,2019,2598
District_117,2020,9985
District_117,2021,7170
District_117,2022,2559
District_117,2023,3787
District_118,2018,13907
District_118,2019,3428
District_118,2020,3347
District_118,2021,10369
District_118,2022,16822
District_118,2023,12415
District_119,2018,4162
District_119,2019,411
District_119,2020,2267
District_119,2021,4236
District_119,2022,10108
District_119,2023,13846
District_120,2018,14469
District_120,2019,11560
District_120,2020,951
District_120,2021,14335
District_120,2022,19427
District_120,2023,5513
District_121,2018,7904
District_121,2019,2742
District_121,2020,17522
District_121,2021,14009
District_121,2022,5287
District_121,2023,1804
District_122,2018,10019
District_122,2019,16077
District_122,2020,5389
District_122,2021,16865
District_122,2022,19622
District_122,2023,3123
District_123,2018,15767
District_123,2019,3519
District_123,2020,5160
District_123,2021,16649
District_123,2022,16948
District_123,2023,2479
District_124,2018,11903
District_124,2019,8292
District_124,2020,1505
District_124,2021,14515
District_124,2022,16775
District_124,2023,15743
District_125,2018,3192
District_125,2019,2837
District_125,2020,1819
District_125,2021,8213
District_125,2022,5295
District_125,2023,13213
District_126,2018,10635
District_126,2019,16317
District_126,2020,14219
District_126,2021,3594
District_126,2022,7348
District_126,2023,9193
District_127,2018,14948
District_127,2019,795
District_127,2020,19680
District_127,2021,1020
District_127,2022,17491
District_127,2023,2273
District_128,2018,945
District_128,2019,9698
District_128,2020,6001
District_128,2021,1093
District_128,2022,8451
District_128,2023,8929
District_129,2018,2617
District_129,2019,17573
District_129,2020,15687
District_129,2021,17674
District_129,2022,16036
